train_acc,train_loss,val_acc,val_loss
0.04381052631578948,4.1982985,0.06720000000000001,3.97932
0.07551578947368422,3.9342341,0.0968,3.8120735
0.10465263157894739,3.7668116,0.10599999999999998,3.7315667
0.1408842105263158,3.5542774,0.17079999999999998,3.3253512
0.1804,3.3448005,0.188,3.330764
0.21747368421052635,3.144667,0.24319999999999997,3.0333953
0.26334736842105266,2.9146264,0.302,2.7233787
0.29231578947368414,2.7655635,0.26799999999999996,2.8977604
0.3174105263157894,2.6232545,0.3496,2.5142105
0.3501473684210526,2.4837418,0.3348,2.5514376
0.3636842105263158,2.3965979,0.32919999999999994,2.6102512
0.38909473684210527,2.2964895,0.39440000000000003,2.2063065
0.4070947368421053,2.209454,0.3968,2.2847242
0.41703157894736836,2.1608825,0.3903999999999999,2.2576392
0.4405263157894737,2.0726542,0.452,2.0131168
0.4505473684210526,2.0182548,0.3996,2.3038504
0.45926315789473693,1.973193,0.45080000000000003,2.026557
0.47825263157894743,1.9063009,0.4612,1.9511893
0.48069473684210523,1.875358,0.41119999999999995,2.330234
0.4957894736842105,1.8241532,0.5064,1.8296304
0.5064631578947368,1.7734206,0.45480000000000004,2.0697863
0.5065473684210526,1.7621968,0.4728,1.958204
0.5201263157894737,1.7067617,0.5144000000000001,1.7416465
0.5285052631578948,1.6826063,0.45760000000000006,2.011577
0.5319157894736842,1.662789,0.5228,1.7374053
0.5435157894736843,1.6184462,0.5328,1.6898328
0.5418736842105263,1.6160342,0.4608,2.0300548
0.5521684210526315,1.576504,0.5468,1.6493506
0.5606105263157894,1.5433986,0.49200000000000005,1.8531321
0.5623157894736842,1.5470816,0.516,1.7566873
0.5740421052631579,1.4996003,0.5448000000000001,1.6191337
0.5742315789473684,1.4918814,0.4512,2.0539749
0.5771157894736842,1.4805751,0.5324000000000001,1.6545311
0.5887578947368421,1.4428749,0.5512,1.591422
0.5885894736842107,1.4456569,0.49760000000000004,1.8166747
0.5924631578947369,1.4162451,0.562,1.5722184
0.5993684210526317,1.394772,0.518,1.7456137
0.5979999999999999,1.4022857,0.5268,1.7490484
0.6046736842105263,1.3637102,0.5768,1.5280684
0.6076,1.3577179,0.4816,2.0562859
0.6110105263157896,1.3479626,0.5612,1.5687933
0.6151157894736841,1.3207088,0.5664,1.5616764
0.6156631578947368,1.3212111,0.4967999999999999,1.9242508
0.6245052631578947,1.2901839,0.5744,1.5433552
0.6292631578947367,1.2785282,0.5539999999999999,1.6761786
0.6254947368421053,1.287272,0.54,1.6759152
0.6320842105263158,1.2582427,0.5820000000000001,1.520015
0.6333052631578946,1.2548522,0.5028,1.9238375
0.6369684210526316,1.2443591,0.5756,1.5712495
0.6430315789473684,1.2168409,0.5711999999999999,1.5706514
0.6411789473684211,1.2238292,0.5131999999999999,1.9219056
0.6456842105263157,1.2053167,0.5844,1.5249131
0.6522947368421053,1.1927917,0.5596,1.6279821
0.6479578947368422,1.1963265,0.5624,1.5850127
0.654778947368421,1.1715467,0.5848,1.497705
0.6544421052631579,1.172791,0.5244000000000001,1.8583728
0.6576421052631579,1.1690742,0.5844,1.5425987
0.6633263157894738,1.1428531,0.5852,1.5741855
0.6602105263157895,1.1519884,0.5524,1.7119069
0.6633263157894737,1.1327286,0.5880000000000001,1.5078092
0.6667789473684211,1.1220902,0.5524,1.7810614
0.6646315789473685,1.127318,0.5544,1.6658833
0.6709894736842106,1.0991364,0.5995999999999999,1.4938233
0.6737263157894736,1.1010293,0.5328,1.7932832
0.674,1.0987608,0.5871999999999999,1.4937271
0.6800631578947368,1.0764723,0.6004,1.5085912
0.6746947368421053,1.0918045,0.5219999999999999,1.9103328
0.6794526315789474,1.0746833,0.5956,1.5214511
0.6860842105263157,1.0555409,0.5624,1.7304301
0.6836631578947369,1.0622628,0.5619999999999999,1.6625414
0.6877684210526316,1.0417002,0.5904,1.5111884
0.6868842105263158,1.0488975,0.5476000000000001,1.7514054
0.6869684210526316,1.0404971,0.5876,1.5589229
0.6931368421052632,1.0253311,0.5916,1.5143847
0.6893052631578946,1.0314246,0.5479999999999999,1.800655
0.6951999999999999,1.0137795,0.5912,1.5572602
0.6971999999999999,1.0073503,0.5660000000000001,1.7173569
0.6965263157894738,1.0144266,0.5716,1.6103811
0.6999578947368421,0.99568534,0.596,1.4971113
0.7002526315789473,0.9913577,0.5436,1.7962527
0.6987157894736842,0.99320465,0.5972,1.5201056
0.7068210526315788,0.9684585,0.5912,1.541985
0.7004842105263158,0.98800856,0.5504,1.7376903
0.7035368421052631,0.9764045,0.6000000000000001,1.5193744
0.7106947368421054,0.9566607,0.5808,1.5992274
0.7074315789473684,0.96588886,0.5716,1.6314437
0.7133263157894738,0.94061834,0.5932,1.5103655
0.7125263157894738,0.94887966,0.55,1.7732074
0.7104421052631579,0.95109206,0.5972000000000001,1.5362952
0.7181473684210526,0.92632556,0.5968,1.5363743
0.7134105263157894,0.9447447,0.5616,1.810472
0.7182736842105262,0.9304315,0.6012,1.5054655
0.721221052631579,0.91271144,0.5876,1.6165141
0.7195368421052631,0.9243243,0.5732,1.6443985
0.7250315789473684,0.9011869,0.602,1.5276119
0.7254736842105264,0.8960327,0.5616,1.8988414
0.722442105263158,0.906261,0.5992,1.5238862
0.729221052631579,0.8897901,0.5960000000000001,1.5452794
0.7248210526315789,0.9017401,0.5612,1.792047
0.7262105263157894,0.89178276,0.6064,1.5228559
